"id","conversation","qa_index","category","question","gold","our_answer","no_binding_answer","our_f1_pct","no_binding_f1_pct","delta_pp","our_read_tokens","no_binding_read_tokens","our_stored_tokens","no_binding_stored_tokens","no_binding_finish_reason"
"conv-42:131","conv-42","131","4","What does the photo on Joanna's cork board remind her of?","love and encouragement from her family","the love and encouragement from them","the love and encouragement from them","66.66666666666666","66.66666666666666","0","2030","2034","63303","61369","stop"
"conv-42:132","conv-42","132","4","What did Nate make and share with his vegan diet group?","vegan ice cream","vegan ice cream","vegan ice cream","100","100","0","1970","2047","63303","61369","stop"
"conv-42:133","conv-42","133","4","How many people attended the gaming party hosted by Nate in June 2022?","7","7","7","100","100","0","1990","2039","63303","61369","stop"
"conv-42:134","conv-42","134","4","What recipe Nate offer to share with Joanna?","vegan ice cream recipe","coconut milk ice cream recipe","coconut milk ice cream recipe","66.66666666666666","66.66666666666666","0","2012","2034","63303","61369","stop"
"conv-42:135","conv-42","135","4","What did Joanna plan to do with the recipe Nate promised to share?","make it for her family","bake a dessert to surprise her family","surprise my family","36.36363636363637","25","-11.363636363636365","2041","2040","63303","61369","stop"
"conv-42:136","conv-42","136","4","How many video game tournaments has Nate won by July 10, 2022?","Four","4","4","0","0","0","1979","2033","63303","61369","stop"
"conv-42:137","conv-42","137","4","Where did Joanna go for a road trip for research?","Woodhaven","Woodhaven","Woodhaven","100","100","0","2005","2048","63303","61369","stop"
"conv-42:138","conv-42","138","4","What did Joanna discover at the library in Woodhaven?","cool old book collection","a super cool book from the 1900s","a super cool book from the 1900s with stories and sketches","44.44444444444444","33.33333333333333","-11.11111111111111","2041","2036","63303","61369","stop"
"conv-42:139","conv-42","139","4","What specific themes are explored in Joanna's new book?","loss, redemption, and forgiveness","loss, redemption, and forgiveness","loss, redemption, and forgiveness","100","100","0","2045","2029","63303","61369","stop"
"conv-42:140","conv-42","140","4","What inspired Joanna's new script in July 2022?","Woodhaven's interesting past and people","unknown","a dream","0","0","0","1987","2047","63303","61369","stop"
"conv-42:141","conv-42","141","4","What did Nate do while Joanna was on her road trip?","Won a video game tournament","won his fourth video game tournament","won his fourth video game tournament","80","80","0","2038","2029","63303","61369","stop"
"conv-42:142","conv-42","142","4","What does Nate do that he loves and can make money from?","Competing in video game tournaments","playing video games","playing video games","50","50","0","2029","2036","63303","61369","stop"
"conv-42:143","conv-42","143","4","How did Joanna feel when someone wrote her a letter after reading her blog post?","Touched","touched","touched, awesome","100","66.66666666666666","-33.333333333333336","2014","2045","63303","61369","stop"
"conv-42:144","conv-42","144","4","What kind of impact does Joanna hope to have with her writing?","share her stories and hopefully have an impact","to make a difference","to make a difference","0","0","0","2035","2044","63303","61369","stop"
"conv-42:145","conv-42","145","4","What kind of content did Joanna share that someone wrote her a letter about?","A blog post about a hard moment in her life","an online blog post","an online blog post","36.36363636363637","36.36363636363637","0","1983","2032","63303","61369","stop"
"conv-42:146","conv-42","146","4","What motivates Joanna to keep writing even on tough days?","Knowing that her writing can make a difference","faith in herself, supportive friends, meaningful stories from personal experiences, cherishing little moments, and the magical way words heal","Knowing that her writing can make a difference","0","100","100","2035","2046","63303","61369","stop"
"conv-42:147","conv-42","147","4","What type of ice cream does Joanna mention that Nate makes and is delicious?","Coconut milk ice cream","Coconut milk ice cream","coconut milk ice cream","100","100","0","2023","2043","63303","61369","stop"
"conv-42:148","conv-42","148","4","How did Nate feel about sharing his love for dairy-free desserts with Joanna?","Happy to share","fun and rewarding","fun and rewarding","0","0","0","2048","2044","63303","61369","stop"
"conv-42:149","conv-42","149","4","What did Joanna share with her writers group in August 2022?","her book","unknown","her book","0","100","100","1981","2048","63303","61369","stop"
"conv-42:150","conv-42","150","4","How did Joanna celebrate after sharing her book with her writers group?","making a delicious treat","making a delicious treat","making a delicious treat","100","100","0","2036","2030","63303","61369","stop"
"conv-42:151","conv-42","151","4","How did Nate celebrate winning the international tournament?","Taking time off to chill with pets","unknown","unknown","0","0","0","2007","2043","63303","61369","stop"
"conv-42:152","conv-42","152","4","Why is Joanna experimenting with dairy-free options in her dessert recipes?","lactose intolerance","Since she is lactose intolerant.","Since she is lactose intolerant","57.14285714285714","57.14285714285714","0","2020","2029","63303","61369","stop"
"conv-42:153","conv-42","153","4","What substitution does Nate suggest for butter in dairy-free baking?","dairy-free margarine or coconut oil","dairy-free margarine or coconut oil","dairy-free margarine or coconut oil","100","100","0","1970","2027","63303","61369","stop"
"conv-42:154","conv-42","154","4","What type of show did Nate host where he taught vegan ice cream recipes?","a cooking show","cooking show","cooking show","100","100","0","2025","2040","63303","61369","stop"
"conv-42:155","conv-42","155","4","What is Nate's favorite dish from the cooking show he hosted?","Coconut milk ice cream","Coconut milk ice cream","Coconut milk ice cream","100","100","0","2026","2033","63303","61369","stop"
"conv-42:156","conv-42","156","4","What is one of Nate's favorite dairy-free treats besides coconut milk ice cream?","dairy-free chocolate mousse","dairy-free chocolate mousse","dairy-free chocolate mousse","100","100","0","1998","2045","63303","61369","stop"
"conv-42:157","conv-42","157","4","What dessert did Joanna share a photo of that has an almond flour crust, chocolate ganache, and fresh raspberries?","chocolate raspberry tart","chocolate raspberry tart","chocolate raspberry tart","100","100","0","2039","2027","63303","61369","stop"
"conv-42:158","conv-42","158","4","What kind of cake did Joanna share a photo of that she likes making for birthdays and special days?","chocolate cake with raspberries","dairy-free chocolate cake with raspberries","dairy-free chocolate cake with raspberries","88.88888888888889","88.88888888888889","0","1953","2042","63303","61369","stop"
"conv-42:159","conv-42","159","4","What two main ingredients are part of the dessert Joanna shared a photo of with blueberries, coconut milk, and a gluten-free crust?","blueberries and coconut milk","blueberries, coconut milk","blueberries, coconut milk","100","100","0","2048","2028","63303","61369","stop"
"conv-42:160","conv-42","160","4","What movie did Nate recently watch and enjoy on October 6, 2022?","Little Women","Little Women","Little Women","100","100","0","1984","2028","63303","61369","stop"
"conv-42:161","conv-42","161","4","What did Joanna make for one of the ladies at her writing club?","a bookmark","a cute little bookmark with a plant on top","a cute little bookmark with a plant on top","25","25","0","2029","2041","63303","61369","stop"
"conv-42:162","conv-42","162","4","What game did Nate play at the game convention he attended on 9 October, 2022?","Catan","Catan","Catan","100","100","0","2039","2029","63303","61369","stop"
"conv-42:163","conv-42","163","4","What movie has Nate recently seen that blew his mind?","""Inception""","Inception","Inception","100","100","0","1988","2026","63303","61369","stop"
"conv-42:164","conv-42","164","4","What game has Nate been playing nonstop with a futuristic setting and gameplay on October 9, 2022?","Cyberpunk 2077","Cyberpunk 2077","Cyberpunk 2077","100","100","0","2016","2047","63303","61369","stop"
"conv-42:165","conv-42","165","4","What did Nate share a photo of when mentioning unwinding at home?","a bookcase filled with dvds and movies","a photo of a bookcase filled with dvds and movies","a bookcase filled with dvds and movies","83.33333333333334","100","16.666666666666664","2033","2037","63303","61369","stop"
"conv-42:166","conv-42","166","4","How did Joanna describe the classic movie he watched?","gripping with great actors","The acting was awesome and the story was so captivating.","awesome - the story was so gripping and the actors were great","0","50","50","1987","2028","63303","61369","stop"
"conv-42:167","conv-42","167","4","What does Joanna recommend to make a living room comfy like hers?","couch for multiple people, fluffy blanket, lights that can be dimmed","a multi-person fluffy couch, a weighted blanket, and dimmable lights","a multi-person fluffy couch, a weighted blanket, and dimmable lights","44.44444444444444","44.44444444444444","0","2045","2048","63303","61369","stop"
"conv-42:168","conv-42","168","4","What helps Joanna stay focused and brings her joy?","stuffed animal dog named Tilly","Writing, hanging with friends, creative projects, and her bookshelf","Writing, hanging with friends, creative projects, journal","0","0","0","2026","2047","63303","61369","stop"
"conv-42:169","conv-42","169","4","What does Joanna do while she writes?","have a stuffed animal dog named Tilly with her","She is being true to herself.","keeps her stuffed animal dog Tilly with her, creates drawings of characters","0","60","60","2047","2028","63303","61369","stop"
"conv-42:170","conv-42","170","4","Why did Joanna name the stuffed animal dog Tilly?","after a dog she had in Michigan","To remember her old dog she used to have in Michigan before she got allergic.","To remember her old dog when she could hold animals without an allergic reaction.","38.095238095238095","21.052631578947366","-17.042606516290725","1977","2036","63303","61369","stop"
